time     mean     centroid1  slope     centroid2   spread        skewness kurtosis   decrease rolloff    
1.376000 0.002459  80.929825 -0.000033  80.929825   5861.080078  1.013353  2.769140  0.003627 208.000000
1.392000 0.002371  73.882263 -0.000038  73.882263   4700.035645  1.153367  3.414472  0.013542 118.000000
1.408000 0.002196  82.647263 -0.000032  82.647263   5743.116211  0.984113  2.734190 -0.006883 208.000000
1.424000 0.002245  85.419991 -0.000030  85.419991   5547.505859  0.980889  2.692012 -0.006158 218.000000
1.440000 0.002206  81.884361 -0.000033  81.884361   5488.605957  1.054987  2.845430 -0.008381 210.000000
1.456000 0.002121  79.750687 -0.000034  79.750687   5391.406250  1.110365  2.941879 -0.007247 201.000000
1.472000 0.002086  90.281326 -0.000027  90.281326   6258.160156  0.789851  2.319693 -0.016763 231.000000
1.488000 0.002145  87.784714 -0.000028  87.784714   5774.003418  0.885803  2.544275 -0.002670 225.000000
1.504000 0.001996  91.102463 -0.000026  91.102463   6091.382813  0.709040  2.265727 -0.018183 219.000000
1.520000 0.002287  95.382256 -0.000023  95.382256   5098.249512  0.723722  2.583607 -0.009960 215.000000
1.536000 0.002568  90.527657 -0.000026  90.527657   4514.046875  0.864813  3.031749  0.008046 119.000000
1.552000 0.002472  92.520645 -0.000025  92.520645   5270.805664  0.802761  2.649452 -0.005745 215.000000
1.568000 0.002703  90.266853 -0.000027  90.266853   4544.912109  0.962911  3.061499 -0.008961 202.000000
1.584000 0.002518  91.829628 -0.000026  91.829628   4845.334961  0.808951  2.830356  0.000701 201.000000
1.600000 0.001943 100.757690 -0.000019 100.757690   5200.111328  0.687220  2.474553 -0.024026 230.000000
1.616000 0.002435  88.811234 -0.000028  88.811234   4480.549805  1.000712  3.149359 -0.001272 189.000000
1.632000 0.002208  93.572815 -0.000024  93.572815   4884.721680  0.820446  2.778394 -0.015478 207.000000
1.648000 0.002096  92.514427 -0.000025  92.514427   4845.404297  0.812601  2.790048 -0.008511 206.000000
1.664000 0.002551  79.123520 -0.000035  79.123520   4709.431152  1.053373  3.343540  0.003569 114.000000
